"","step","state"
"1",1,3
"2",2,1
"3",3,4
"4",4,3
"5",5,1
"6",6,1
"7",7,4
"8",8,4
"9",9,4
"10",10,1
"11",11,4
"12",12,4
"13",13,4
"14",14,1
"15",15,2
"16",16,1
"17",17,3
"18",18,1
"19",19,1
"20",20,4
"21",21,3
"22",22,1
"23",23,4
"24",24,2
"25",25,2
"26",26,1
"27",27,1
"28",28,3
"29",29,3
"30",30,1
"31",31,2
"32",32,4
"33",33,3
"34",34,4
"35",35,1
"36",36,2
"37",37,4
"38",38,1
"39",39,1
"40",40,1
"41",41,1
"42",42,3
"43",43,3
"44",44,3
"45",45,1
"46",46,1
"47",47,3
"48",48,4
"49",49,1
"50",50,1
"51",51,1
"52",52,4
"53",53,4
"54",54,2
"55",55,4
"56",56,3
"57",57,4
"58",58,1
"59",59,1
"60",60,3
"61",61,3
"62",62,4
"63",63,2
"64",64,3
"65",65,2
"66",66,3
"67",67,4
"68",68,3
"69",69,1
"70",70,4
"71",71,1
"72",72,4
"73",73,1
"74",74,4
"75",75,1
"76",76,4
"77",77,4
"78",78,4
"79",79,4
"80",80,1
"81",81,4
"82",82,2
"83",83,2
"84",84,4
"85",85,1
"86",86,2
"87",87,4
"88",88,3
"89",89,1
"90",90,3
"91",91,2
"92",92,1
"93",93,4
"94",94,3
"95",95,1
"96",96,1
"97",97,4
"98",98,2
"99",99,1
"100",100,4
"101",101,1
"102",102,3
"103",103,1
"104",104,3
"105",105,2
"106",106,4
"107",107,3
"108",108,4
"109",109,4
"110",110,2
"111",111,1
"112",112,4
"113",113,4
"114",114,4
"115",115,4
"116",116,1
"117",117,3
"118",118,2
"119",119,4
"120",120,4
"121",121,1
"122",122,4
"123",123,1
"124",124,1
"125",125,4
"126",126,4
"127",127,2
"128",128,2
"129",129,2
"130",130,4
"131",131,1
"132",132,1
"133",133,4
"134",134,3
"135",135,3
"136",136,4
"137",137,3
"138",138,4
"139",139,3
"140",140,4
"141",141,2
"142",142,1
"143",143,2
"144",144,1
"145",145,4
"146",146,4
"147",147,4
"148",148,3
"149",149,1
"150",150,3
"151",151,3
"152",152,1
"153",153,2
"154",154,4
"155",155,4
"156",156,3
"157",157,4
"158",158,1
"159",159,2
"160",160,4
"161",161,4
"162",162,4
"163",163,2
"164",164,4
"165",165,1
"166",166,1
"167",167,1
"168",168,1
"169",169,2
"170",170,4
"171",171,1
"172",172,3
"173",173,3
"174",174,3
"175",175,1
"176",176,4
"177",177,3
"178",178,1
"179",179,2
"180",180,1
"181",181,4
"182",182,1
"183",183,3
"184",184,1
"185",185,4
"186",186,4
"187",187,1
"188",188,1
"189",189,2
"190",190,3
"191",191,2
"192",192,1
"193",193,4
"194",194,4
"195",195,2
"196",196,1
"197",197,1
"198",198,4
"199",199,4
"200",200,1
"201",201,4
"202",202,1
"203",203,4
"204",204,4
"205",205,4
"206",206,1
"207",207,4
"208",208,1
"209",209,1
"210",210,2
"211",211,3
"212",212,1
"213",213,2
"214",214,1
"215",215,4
"216",216,2
"217",217,3
"218",218,4
"219",219,1
"220",220,3
